Category,Name,Description,Old Name,Old Description
,Contest Costume,"A machine to separate Necrozma, which needed light, from Lunala.",contest-costume--dress,XXX new effect for contest-costume--dress
,Meteorite,The Normalium Z you were entrusted with by Ilima. You were asked to place it on the pedestal at the back of Verdant Cavern.,meteorite--2,XXX new effect for meteorite--2
,Meteorite,A Poké Ball with a Pokémon that lost its Trainer inside. It seems to be from Ula’ula Island.,meteorite--3,XXX new effect for meteorite--3
,Meteorite,One of the Rotom Powers. It helps Eggs hatch faster.,meteorite--4,XXX new effect for meteorite--4
,Normalium Z,One of the Rotom Powers. It reduces the prices of products at Poké Marts by half.,normalium-z--bag,XXX new effect for normalium-z--bag
,Firium Z,One of the Rotom Powers. It triples the prize money you receive after battle.,firium-z--bag,XXX new effect for firium-z--bag
,Waterium Z,One of the Rotom Powers. It increases the Exp. Points your Pokémon receive after battle a little.,waterium-z--bag,XXX new effect for waterium-z--bag
,Electrium Z,One of the Rotom Powers. It helps Pokémon in your party grow friendly faster.,electrium-z--bag,XXX new effect for electrium-z--bag
,Grassium Z,One of the Rotom Powers. It increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.,grassium-z--bag,XXX new effect for grassium-z--bag
,Icium Z,One of the Rotom Powers. It prevents you from encountering wild Pokémon for a certain period of time.,icium-z--bag,XXX new effect for icium-z--bag
,Fightinium Z,One of the Rotom Powers. It fully restores the HP of your battling Pokémon.,fightinium-z--bag,XXX new effect for fightinium-z--bag
,Poisonium Z,One of the Rotom Powers. It fully restores the PP of your battling Pokémon.,poisonium-z--bag,XXX new effect for poisonium-z--bag
,Groundium Z,One of the Rotom Powers. It raises all stats of your battling Pokémon.,groundium-z--bag,XXX new effect for groundium-z--bag
,Flyinium Z,One of the Rotom Powers. It increases the chance to catch Pokémon a lot.,flyinium-z--bag,XXX new effect for flyinium-z--bag
,Psychium Z,,psychium-z--bag,XXX new effect for psychium-z--bag
,Buginium Z,,buginium-z--bag,XXX new effect for buginium-z--bag
,Rockium Z,,rockium-z--bag,XXX new effect for rockium-z--bag
,Ghostium Z,,ghostium-z--bag,XXX new effect for ghostium-z--bag
,Dragonium Z,,dragonium-z--bag,XXX new effect for dragonium-z--bag
,Darkinium Z,,darkinium-z--bag,XXX new effect for darkinium-z--bag
,Steelium Z,,steelium-z--bag,XXX new effect for steelium-z--bag
,Fairium Z,,fairium-z--bag,XXX new effect for fairium-z--bag
,Pikanium Z,,pikanium-z--bag,XXX new effect for pikanium-z--bag
,Decidium Z,,decidium-z--bag,XXX new effect for decidium-z--bag
,Incinium Z,,incinium-z--bag,XXX new effect for incinium-z--bag
,Primarium Z,,primarium-z--bag,XXX new effect for primarium-z--bag
,Tapunium Z,,tapunium-z--bag,XXX new effect for tapunium-z--bag
,Marshadium Z,,marshadium-z--bag,XXX new effect for marshadium-z--bag
,Aloraichium Z,,aloraichium-z--bag,XXX new effect for aloraichium-z--bag
,Snorlium Z,,snorlium-z--bag,XXX new effect for snorlium-z--bag
,Eevium Z,,eevium-z--bag,XXX new effect for eevium-z--bag
,Mewnium Z,,mewnium-z--bag,XXX new effect for mewnium-z--bag
,Pikashunium Z,,pikashunium-z--bag,XXX new effect for pikashunium-z--bag
,Solganium Z,,solganium-z--held,XXX new effect for solganium-z--held
,Lunalium Z,,lunalium-z--held,XXX new effect for lunalium-z--held
,Ultranecrozium Z,,ultranecrozium-z--held,XXX new effect for ultranecrozium-z--held
,Mimikium Z,,mimikium-z--held,XXX new effect for mimikium-z--held
,Lycanium Z,,lycanium-z--held,XXX new effect for lycanium-z--held
,Kommonium Z,,kommonium-z--held,XXX new effect for kommonium-z--held
,Solganium Z,,solganium-z--bag,XXX new effect for solganium-z--bag
,Lunalium Z,,lunalium-z--bag,XXX new effect for lunalium-z--bag
,Ultranecrozium Z,,ultranecrozium-z--bag,XXX new effect for ultranecrozium-z--bag
,Mimikium Z,,mimikium-z--bag,XXX new effect for mimikium-z--bag
,Lycanium Z,,lycanium-z--bag,XXX new effect for lycanium-z--bag
,Kommonium Z,,kommonium-z--bag,XXX new effect for kommonium-z--bag
,Z-Power Ring,,z-power-ring,XXX new effect for z-power-ring
,Pink Petal,,pink-petal,XXX new effect for pink-petal
,Orange Petal,,orange-petal,XXX new effect for orange-petal
,Blue Petal,,blue-petal,XXX new effect for blue-petal
,Red Petal,,red-petal,XXX new effect for red-petal
,Green Petal,,green-petal,XXX new effect for green-petal
,Yellow Petal,,yellow-petal,XXX new effect for yellow-petal
,Purple Petal,,purple-petal,XXX new effect for purple-petal
,Rainbow Flower,,rainbow-flower,XXX new effect for rainbow-flower
,Surge Badge,,surge-badge,XXX new effect for surge-badge
,N-Solarizer,,n-solarizer--merge,XXX new effect for n-solarizer--merge
,N-Lunarizer,,n-lunarizer--merge,XXX new effect for n-lunarizer--merge
,N-Solarizer,,n-solarizer--split,XXX new effect for n-solarizer--split
,N-Lunarizer,,n-lunarizer--split,XXX new effect for n-lunarizer--split
,Ilima Normalium Z,,ilimas-normalium-z,XXX new effect for ilimas-normalium-z
,Left Poké Ball,,left-poke-ball,XXX new effect for left-poke-ball
,Roto Hatch,,roto-hatch,XXX new effect for roto-hatch
,Roto Bargain,,roto-bargain,XXX new effect for roto-bargain
,Roto Prize Money,,roto-prize-money,XXX new effect for roto-prize-money
,Roto Exp. Points,,roto-exp-points,XXX new effect for roto-exp-points
,Roto Friendship,,roto-friendship,XXX new effect for roto-friendship
,Roto Encounter,,roto-encounter,XXX new effect for roto-encounter
,Roto Stealth,,roto-stealth,XXX new effect for roto-stealth
,Roto HP Restore,,roto-hp-restore,XXX new effect for roto-hp-restore
,Roto PP Restore,,roto-pp-restore,XXX new effect for roto-pp-restore
,Roto Boost,,roto-boost,XXX new effect for roto-boost
,Roto Catch,,roto-catch,XXX new effect for roto-catch	
